method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
PTGAN-CP,3,400,0.2985894177109003,1.0,0.0,0.202432856837926,0.05677226063505286
PTGAN-CP,3,800,0.5893017500638962,1.0,0.0,0.12501688096912117,0.013130623013828157
PTGAN-CP,3,1000,0.7358438335359097,1.0,0.0,0.1336019013284519,0.014075099670846782
WGAN-GP,4,0,0.0,1.0,0.0,0.1652341759934231,0.07525354289937036
WGAN-GP,4,50,0.043398041278123856,1.0,0.0,0.14191946301303537,0.07514808444148263
WGAN-GP,4,100,0.08674033172428608,1.0,0.0,0.11411819235701455,0.04299693505949989
WGAN-GP,4,200,0.17199649848043919,1.0,0.0,0.10806791763395361,0.01901434924451339
WGAN-GP,4,400,0.3408980406820774,1.0,0.0,0.14082371419039186,0.02101509669152584
WGAN-GP,4,800,0.6767522487789392,1.0,0.0,0.13270698458795357,0.02835024148587148
WGAN-GP,4,1000,0.8454965408891439,1.0,0.0,0.1225956462155383,0.018551171575801797
PTGAN-CP,4,0,0.0,1.0,0.0,0.10414440924748328,0.06433006420937011
PTGAN-CP,4,50,0.038328416645526886,1.0,0.0,0.1452118772508968,0.0906015241621666
PTGAN-CP,4,100,0.07646345719695091,1.0,0.0,0.09550765425349404,0.05238487043970899
PTGAN-CP,4,200,0.1522522885352373,1.0,0.0,0.16275484491281952,0.02555574500570448
PTGAN-CP,4,400,0.2990340366959572,1.0,0.0,0.12626625608821979,0.010552439749782682
PTGAN-CP,4,800,0.5892712045460939,1.0,0.0,0.12742451280229228,0.010825496030531845
PTGAN-CP,4,1000,0.7352364957332611,1.0,0.0,0.1311508303675793,0.009503089298392208
WGAN-GP,5,0,0.0,1.0,0.0,0.16558229568672067,0.10344190411025354
WGAN-GP,5,50,0.043360207229852676,1.0,0.0,0.08660841418916487,0.04283682678095924
WGAN-GP,5,100,0.08647012524306774,1.0,0.0,0.10479688163923478,0.05340562560214363
WGAN-GP,5,200,0.17122666537761688,1.0,0.0,0.10969865927013334,0.024846610573583835
WGAN-GP,5,400,0.3391677476465702,1.0,0.0,0.14023574474888345,0.023734487164661942
WGAN-GP,5,800,0.6751960813999176,1.0,0.0,0.10010127004094435,0.02886577929278515
WGAN-GP,5,1000,0.8436412904411554,1.0,0.0,0.11982851489533988,0.02271486117376496
PTGAN-CP,5,0,0.0,1.0,0.0,0.10804563544754543,0.06426021657060077
PTGAN-CP,5,50,0.038517626002430916,1.0,0.0,0.13835468991815622,0.07386707578077303
PTGAN-CP,5,100,0.07725350186228752,1.0,0.0,0.14229127107490086,0.040111571273159584
PTGAN-CP,5,200,0.15259196050465107,1.0,0.0,0.1724603384596631,0.03576275166459286
PTGAN-CP,5,400,0.3010214604437351,1.0,0.0,0.10925083326536213,0.015222468231419862
PTGAN-CP,5,800,0.5923810433596373,1.0,0.0,0.12483767595716051,0.010573930594694098
PTGAN-CP,5,1000,0.7397647090256214,1.0,0.0,0.11899776479719984,0.01156650137527037
WGAN-GP,6,0,0.0,1.0,0.0,0.17419292943118653,0.09559087261398687
WGAN-GP,6,50,0.043956415727734566,1.0,0.0,0.14678498102316206,0.08525899134612863
WGAN-GP,6,100,0.08751191571354866,1.0,0.0,0.11303697683952393,0.04017177488441589
WGAN-GP,6,200,0.17289653979241848,1.0,0.0,0.11849603731604626,0.008356419126426392
WGAN-GP,6,400,0.3418264966458082,1.0,0.0,0.10732130349716802,0.01992595648111373
WGAN-GP,6,800,0.6783782038837671,1.0,0.0,0.11515419943919376,0.026413336331490456
WGAN-GP,6,1000,0.8468875791877508,1.0,0.0,0.1523856918676726,0.021571306211233182
PTGAN-CP,6,0,0.0,1.0,0.0,0.13844767521397688,0.08770385408226959
PTGAN-CP,6,50,0.03837312385439873,1.0,0.0,0.2336831573858941,0.14719179775043267
PTGAN-CP,6,100,0.07648970559239388,1.0,0.0,0.10930119812425682,0.03337785622590386
PTGAN-CP,6,200,0.151164248585701,1.0,0.0,0.09847020775473835,0.03411332998507955
PTGAN-CP,6,400,0.2976916655898094,1.0,0.0,0.11568954281108258,0.013792392404270071
PTGAN-CP,6,800,0.5896470416337252,1.0,0.0,0.11959812802380952,0.012038072461817538
PTGAN-CP,6,1000,0.7365936245769262,1.0,0.0,0.11997333190693141,0.015259239485853709
WGAN-GP,7,0,0.0,1.0,0.0,0.378333534434655,0.2369654828722748
WGAN-GP,7,50,0.043649790808558464,1.0,0.0,0.1345790741192282,0.05549035406612626
WGAN-GP,7,100,0.08702608197927475,1.0,0.0,0.18603520516678004,0.10048075033064656
WGAN-GP,7,200,0.17220708169043064,1.0,0.0,0.12451608557300269,0.0381119020618092
WGAN-GP,7,400,0.3410896249115467,1.0,0.0,0.11554352969622046,0.014798229267102904
WGAN-GP,7,800,0.6778082475066185,1.0,0.0,0.1258153248110499,0.011137371514330351
WGAN-GP,7,1000,0.8461850788444281,1.0,0.0,0.12934424692969446,0.02208537726636935
PTGAN-CP,7,0,0.0,1.0,0.0,0.2813895882970909,0.1752941083429823
