method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
PTGAN-GP,3,400,0.3550450876355171,0.0,0.5285,0.878590565929326,0.4031315597577347
PTGAN-GP,3,800,0.7051535043865442,2.0,0.6045,0.6703361103065154,0.9588142233650238
PTGAN-GP,3,1200,1.055011335760355,2.0,0.625,0.6238055649630972,0.7752353157725208
PTGAN-GP,3,1500,1.3177399206906557,2.0,0.51325,0.8736435539731777,0.6163010227328889
PTGAN-CP,3,0,0.0,0.0,0.5670000000000001,1.348430326329556,0.8820101968619101
PTGAN-CP,3,50,0.03802266716957092,0.0,0.625,1.2055040290155083,0.8845469456867023
PTGAN-CP,3,100,0.07568662241101265,0.0,0.625,1.0027657915227985,0.8472766685626628
PTGAN-CP,3,200,0.14976895786821842,1.0,0.625,0.7918894747256959,0.7401636868663057
PTGAN-CP,3,400,0.2959258332848549,1.0,0.41600000000000004,0.8855333815779696,0.5777884860044477
PTGAN-CP,3,800,0.5856776665896177,3.0,0.625,0.572916392819531,0.5851314686005976
PTGAN-CP,3,1200,0.875688249245286,5.0,0.263,0.7040967211115612,0.4105878276384233
PTGAN-CP,3,1500,1.093586040660739,8.0,0.058,0.5822652670434727,0.2807982208763093
WGAN-GP,4,0,0.0,0.0,0.54475,1.3385453366035844,0.8932436442756719
WGAN-GP,4,50,0.04335583373904228,0.0,0.7449999999999999,1.2435474696832998,0.8969389427750954
WGAN-GP,4,100,0.08617858402431011,0.0,0.814,1.0028457953205916,0.8683438608918612
WGAN-GP,4,200,0.17050816863775253,2.0,0.75,0.652283956992549,0.8150405612217477
WGAN-GP,4,400,0.3374560009688139,1.0,0.7705,0.8187519144112733,0.7898305452150876
WGAN-GP,4,800,0.6712651681154966,2.0,0.75,0.5142521174306489,0.8500490211818733
WGAN-GP,4,1200,1.0050102081149817,2.0,0.6615,0.7531396648644045,0.6965603196473416
WGAN-GP,4,1500,1.2555141635239124,0.0,0.75,1.1304736433069922,1.4345183004888147
PTGAN-GP,4,0,0.0,0.0,0.49900000000000005,1.3980081374309694,0.9093997293434568
PTGAN-GP,4,50,0.04536049999296665,0.0,0.75,1.2229261279267447,0.8903814370902806
PTGAN-GP,4,100,0.09042604267597198,0.0,0.875,1.0275013723110724,0.8647092737844574
PTGAN-GP,4,200,0.17923787608742714,0.0,0.625,1.1604396503084202,0.8547894590024487
PTGAN-GP,4,400,0.3548479173332453,1.0,0.875,0.781651466833856,0.8993451484827929
PTGAN-GP,4,800,0.7049597091972828,1.0,0.875,0.6947919187721948,0.8650020617631422
PTGAN-GP,4,1200,1.0546375419944525,3.0,0.625,0.6971599675403038,0.7239908473286457
PTGAN-GP,4,1500,1.3177186660468578,3.0,0.42674999999999996,0.8113443589451609,0.5190650333139964
PTGAN-CP,4,0,0.0,0.0,0.49900000000000005,1.3980081374309694,0.9093997293434568
PTGAN-CP,4,50,0.03787733428180218,0.0,0.75,1.249786904120077,0.8949669699197961
PTGAN-CP,4,100,0.07555166631937027,0.0,0.875,1.0440656549277765,0.8711062748457296
PTGAN-CP,4,200,0.14960683323442936,1.0,0.75,0.7797927633923746,0.859900163116351
PTGAN-CP,4,400,0.29498366825282574,1.0,0.625,0.9269581083097093,0.7285588628089212
PTGAN-CP,4,800,0.5836572498083115,6.0,0.2415,0.6890372208098349,0.39057342298559533
PTGAN-CP,4,1200,0.8727978728711605,8.0,0.10124999999999999,0.5318319156136591,0.2498599754746851
PTGAN-CP,4,1500,1.0901279132813215,8.0,0.08524999999999999,0.45964192612538457,0.2185388867717358
WGAN-GP,5,0,0.0,0.0,0.69725,1.3386063879949284,0.9235402011679
WGAN-GP,5,50,0.04335554130375385,0.0,0.5285,1.3928960406049782,0.9166682589313245
WGAN-GP,5,100,0.08612995781004429,0.0,0.6525000000000001,1.2739856109038534,0.8886407037154381
WGAN-GP,5,200,0.1704497504979372,0.0,0.75,0.8904747537565502,0.8508415575282137
WGAN-GP,5,400,0.3378085847944021,1.0,0.56525,0.9456465742461153,0.6874275038115212
WGAN-GP,5,800,0.6710762083530426,0.0,0.38475,0.904930343249443,0.604566191702685
WGAN-GP,5,1200,1.0042230002582073,2.0,0.45699999999999996,0.6237258255362238,0.6302039399893047
WGAN-GP,5,1500,1.2550126258283854,3.0,0.625,0.837103954472246,0.815524750560011
PTGAN-GP,5,0,0.0,0.0,0.4555,1.3948182284576491,0.9134545323071077
PTGAN-GP,5,50,0.045360125601291656,0.0,0.6955,1.285716760012978,0.9018803180188443
PTGAN-GP,5,100,0.09040446020662785,0.0,0.6765,1.1043645873133516,0.8703347815428993
PTGAN-GP,5,200,0.17957625165581703,1.0,0.625,0.7962549962968747,0.7656238197596129
PTGAN-GP,5,400,0.35566429421305656,2.0,0.528,0.7818177025312818,0.4695060941225522
PTGAN-GP,5,800,0.705633295699954,2.0,0.45075,1.0187431727074607,0.670726469211028
PTGAN-GP,5,1200,1.054536173120141,3.0,0.625,0.548134494832154,0.8120057518283585
PTGAN-GP,5,1500,1.3168840073049068,3.0,0.625,0.6271486203487592,0.5892735753282982
PTGAN-CP,5,0,0.0,0.0,0.4555,1.3948182284576491,0.9134545323071077
PTGAN-CP,5,50,0.03799687512218952,0.0,0.6285000000000001,1.3101128182690696,0.9001699384537435
PTGAN-CP,5,100,0.07582624815404415,0.0,0.625,1.1591693009047552,0.8588934459714419
PTGAN-CP,5,200,0.14992104098200798,0.0,0.618,0.9587530998477254,0.7511400954335595
PTGAN-CP,5,400,0.2955264560878277,2.0,0.5235000000000001,0.8171757935568883,0.640662139935694
PTGAN-CP,5,800,0.5845529567450285,5.0,0.20124999999999998,0.6561515478427425,0.36101555476524605
